City_Rank_by_Population(2021),State,State_Abbrieviation,City,Observation_Date, Median_Typical_Rental_Rate ,Link
69,North Carolina,NC,Greensboro,1/1/2015, $900.09 ,https://www.zillow.com/research/data/
70,Missouri,MO,Saint Louis,1/1/2015, $863.64 ,https://www.zillow.com/research/data/
71,Nebraska,NE,Lincoln,1/1/2015, $875.23 ,https://www.zillow.com/research/data/
72,Texas,TX,Plano,1/1/2015," $1,289.03 ",https://www.zillow.com/research/data/
73,Alaska,AK,Anchorage,1/1/2015," $1,472.59 ",https://www.zillow.com/research/data/
74,North Carolina,NC,Durham,1/1/2015," $1,097.74 ",https://www.zillow.com/research/data/
75,New Jersey,NJ,Jersey City,1/1/2015," $2,311.49 ",https://www.zillow.com/research/data/
1,New York,NY,New York,1/1/2016," $2,862.27 ",https://www.zillow.com/research/data/
2,California,CA,Los Angeles,1/1/2016," $2,222.18 ",https://www.zillow.com/research/data/
3,Illinois,IL,Chicago,1/1/2016," $1,653.98 ",https://www.zillow.com/research/data/
4,Texas,TX,Houston,1/1/2016," $1,314.53 ",https://www.zillow.com/research/data/
5,Arizona,AZ,Phoenix,1/1/2016," $1,030.83 ",https://www.zillow.com/research/data/
6,Pennsylvania,PA,Philadelphia,1/1/2016," $1,355.51 ",https://www.zillow.com/research/data/
7,Texas,TX,San Antonio,1/1/2016," $1,083.29 ",https://www.zillow.com/research/data/
8,California,CA,San Diego,1/1/2016," $2,088.35 ",https://www.zillow.com/research/data/
9,Texas,TX,Dallas,1/1/2016," $1,321.53 ",https://www.zillow.com/research/data/
10,California,CA,San Jose,1/1/2016," $2,664.31 ",https://www.zillow.com/research/data/
11,Texas,TX,Austin,1/1/2016," $1,318.20 ",https://www.zillow.com/research/data/
12,Florida,FL,Jacksonville,1/1/2016," $1,066.75 ",https://www.zillow.com/research/data/
13,Texas,TX,Fort Worth,1/1/2016," $1,172.37 ",https://www.zillow.com/research/data/
14,Ohio,OH,Columbus,1/1/2016, $976.32 ,https://www.zillow.com/research/data/
15,Indiana,IN,Indianapolis,1/1/2016, $892.11 ,https://www.zillow.com/research/data/
16,North Carolina,NC,Charlotte,1/1/2016," $1,195.62 ",https://www.zillow.com/research/data/
17,California,CA,San Francisco,1/1/2016," $3,414.74 ",https://www.zillow.com/research/data/
18,Washington,WA,Seattle,1/1/2016," $1,871.93 ",https://www.zillow.com/research/data/
19,Colorado,CO,Denver,1/1/2016," $1,525.62 ",https://www.zillow.com/research/data/
20,Oklahoma,OK,Oklahoma City,1/1/2016, $926.23 ,https://www.zillow.com/research/data/
21,Tennessee,TN,Nashville,1/1/2016," $1,304.65 ",https://www.zillow.com/research/data/
22,Texas,TX,El Paso,1/1/2016," $1,043.61 ",https://www.zillow.com/research/data/
23,District of Columbia,DC,Washington,1/1/2016," $2,166.88 ",https://www.zillow.com/research/data/
24,Massachusetts,MA,Boston,1/1/2016," $2,444.14 ",https://www.zillow.com/research/data/
25,Nevada,NV,Las Vegas,1/1/2016," $1,112.42 ",https://www.zillow.com/research/data/
26,Oregon,OR,Portland,1/1/2016," $1,483.43 ",https://www.zillow.com/research/data/
27,Michigan,MI,Detroit,1/1/2016, $855.83 ,https://www.zillow.com/research/data/
28,Kentucky,KY,Louisville,1/1/2016, $935.92 ,https://www.zillow.com/research/data/
29,Tennessee,TN,Memphis,1/1/2016, $864.07 ,https://www.zillow.com/research/data/
30,Maryland,MD,Baltimore,1/1/2016," $1,325.55 ",https://www.zillow.com/research/data/
31,Wisconsin,WI,Milwaukee,1/1/2016, $971.10 ,https://www.zillow.com/research/data/
32,New Mexico,NM,Albuquerque,1/1/2016, $995.96 ,https://www.zillow.com/research/data/
33,California,CA,Fresno,1/1/2016," $1,216.67 ",https://www.zillow.com/research/data/
34,Arizona,AZ,Tucson,1/1/2016, $941.10 ,https://www.zillow.com/research/data/
35,California,CA,Sacramento,1/1/2016," $1,334.33 ",https://www.zillow.com/research/data/
36,Arizona,AZ,Mesa,1/1/2016, $994.04 ,https://www.zillow.com/research/data/
37,Missouri,MO,Kansas City,1/1/2016, $899.59 ,https://www.zillow.com/research/data/
38,Georgia,GA,Atlanta,1/1/2016," $1,387.95 ",https://www.zillow.com/research/data/
39,Nebraska,NE,Omaha,1/1/2016, $936.34 ,https://www.zillow.com/research/data/
40,Colorado,CO,Colorado Springs,1/1/2016," $1,195.47 ",https://www.zillow.com/research/data/
41,North Carolina,NC,Raleigh,1/1/2016," $1,172.32 ",https://www.zillow.com/research/data/
42,Virginia,VA,Virginia Beach,1/1/2016," $1,315.81 ",https://www.zillow.com/research/data/
43,California,CA,Long Beach,1/1/2016," $1,562.09 ",https://www.zillow.com/research/data/
44,Florida,FL,Miami,1/1/2016," $2,060.03 ",https://www.zillow.com/research/data/
45,California,CA,Oakland,1/1/2016," $2,457.68 ",https://www.zillow.com/research/data/
46,Minnesota,MN,Minneapolis,1/1/2016," $1,345.35 ",https://www.zillow.com/research/data/
47,Oklahoma,OK,Tulsa,1/1/2016, $874.31 ,https://www.zillow.com/research/data/
48,California,CA,Bakersfield,1/1/2016," $1,257.15 ",https://www.zillow.com/research/data/
49,Kansas,KS,Wichita,1/1/2016, $754.73 ,https://www.zillow.com/research/data/
50,Texas,TX,Arlington,1/1/2016," $1,153.76 ",https://www.zillow.com/research/data/
51,Colorado,CO,Aurora,1/1/2016," $1,338.58 ",https://www.zillow.com/research/data/
52,Florida,FL,Tampa,1/1/2016," $1,285.34 ",https://www.zillow.com/research/data/
53,Louisiana,LA,New Orleans,1/1/2016," $1,375.27 ",https://www.zillow.com/research/data/
54,Ohio,OH,Cleveland,1/1/2016, $965.51 ,https://www.zillow.com/research/data/
55,California,CA,Anaheim,1/1/2016," $1,850.81 ",https://www.zillow.com/research/data/
56,Hawaii,HI,Honolulu,1/1/2016," $1,881.86 ",https://www.zillow.com/research/data/
57,Nevada,NV,Henderson,1/1/2016," $1,170.82 ",https://www.zillow.com/research/data/
58,California,CA,Stockton,1/1/2016," $1,164.98 ",https://www.zillow.com/research/data/
59,Kentucky,KY,Lexington,1/1/2016, $960.91 ,https://www.zillow.com/research/data/
60,Texas,TX,Corpus Christi,1/1/2016," $1,112.16 ",https://www.zillow.com/research/data/
61,California,CA,Riverside,1/1/2016," $1,560.17 ",https://www.zillow.com/research/data/
62,California,CA,Santa Ana,1/1/2016," $2,154.44 ",https://www.zillow.com/research/data/
63,Florida,FL,Orlando,1/1/2016," $1,295.68 ",https://www.zillow.com/research/data/
64,California,CA,Irvine,1/1/2016," $2,315.21 ",https://www.zillow.com/research/data/
65,Ohio,OH,Cincinnati,1/1/2016, $850.34 ,https://www.zillow.com/research/data/
66,New Jersey,NJ,Newark,1/1/2016," $1,217.08 ",https://www.zillow.com/research/data/
67,Minnesota,MN,Saint Paul,1/1/2016," $1,148.80 ",https://www.zillow.com/research/data/
68,Pennsylvania,PA,Pittsburgh,1/1/2016," $1,074.44 ",https://www.zillow.com/research/data/
69,North Carolina,NC,Greensboro,1/1/2016, $916.70 ,https://www.zillow.com/research/data/
70,Missouri,MO,Saint Louis,1/1/2016, $882.62 ,https://www.zillow.com/research/data/
71,Nebraska,NE,Lincoln,1/1/2016, $906.62 ,https://www.zillow.com/research/data/
72,Texas,TX,Plano,1/1/2016," $1,327.97 ",https://www.zillow.com/research/data/
73,Alaska,AK,Anchorage,1/1/2016," $1,445.31 ",https://www.zillow.com/research/data/
74,North Carolina,NC,Durham,1/1/2016," $1,151.72 ",https://www.zillow.com/research/data/
75,New Jersey,NJ,Jersey City,1/1/2016," $2,417.53 ",https://www.zillow.com/research/data/
1,New York,NY,New York,1/1/2017," $2,891.79 ",https://www.zillow.com/research/data/
2,California,CA,Los Angeles,1/1/2017," $2,357.70 ",https://www.zillow.com/research/data/
3,Illinois,IL,Chicago,1/1/2017," $1,689.94 ",https://www.zillow.com/research/data/
4,Texas,TX,Houston,1/1/2017," $1,317.44 ",https://www.zillow.com/research/data/
5,Arizona,AZ,Phoenix,1/1/2017," $1,095.53 ",https://www.zillow.com/research/data/
6,Pennsylvania,PA,Philadelphia,1/1/2017," $1,394.27 ",https://www.zillow.com/research/data/
7,Texas,TX,San Antonio,1/1/2017," $1,119.39 ",https://www.zillow.com/research/data/
8,California,CA,San Diego,1/1/2017," $2,205.33 ",https://www.zillow.com/research/data/
9,Texas,TX,Dallas,1/1/2017," $1,377.39 ",https://www.zillow.com/research/data/
10,California,CA,San Jose,1/1/2017," $2,738.22 ",https://www.zillow.com/research/data/
11,Texas,TX,Austin,1/1/2017," $1,355.61 ",https://www.zillow.com/research/data/
12,Florida,FL,Jacksonville,1/1/2017," $1,114.94 ",https://www.zillow.com/research/data/
13,Texas,TX,Fort Worth,1/1/2017," $1,236.55 ",https://www.zillow.com/research/data/
14,Ohio,OH,Columbus,1/1/2017," $1,032.19 ",https://www.zillow.com/research/data/
15,Indiana,IN,Indianapolis,1/1/2017, $923.05 ,https://www.zillow.com/research/data/
16,North Carolina,NC,Charlotte,1/1/2017," $1,268.36 ",https://www.zillow.com/research/data/
17,California,CA,San Francisco,1/1/2017," $3,385.51 ",https://www.zillow.com/research/data/
18,Washington,WA,Seattle,1/1/2017," $1,983.88 ",https://www.zillow.com/research/data/
19,Colorado,CO,Denver,1/1/2017," $1,581.58 ",https://www.zillow.com/research/data/
20,Oklahoma,OK,Oklahoma City,1/1/2017, $935.12 ,https://www.zillow.com/research/data/
