Identifier,Observation_Date,Estimated_Median_Household_Income,2021_estimated_population,2020_census,Note,Link_to_Survey,,
202171,1/1/2021,"$62,294.00 ",292657,291082, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201172,1/1/2011,"$80,184.00 ",288253,285494, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201272,1/1/2012,"$81,475.00 ",288253,285494, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201372,1/1/2013,"$80,448.00 ",288253,285494, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201472,1/1/2014,"$81,571.00 ",288253,285494, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201572,1/1/2015,"$83,769.00 ",288253,285494, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201672,1/1/2016,"$88,398.00 ",288253,285494, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201772,1/1/2017,"$94,306.00 ",288253,285494, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201872,1/1/2018,"$93,012.00 ",288253,285494, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201972,1/1/2019,"$93,321.00 ",288253,285494, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
202072,1/1/2020,"$96,348.00 ",288253,285494, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
202172,1/1/2021,"$95,002.00 ",288253,285494, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201173,1/1/2011,"$72,813.00 ",288121,291247, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201273,1/1/2012,"$72,575.00 ",288121,291247, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201373,1/1/2013,"$79,045.00 ",288121,291247, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201473,1/1/2014,"$76,337.00 ",288121,291247, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201573,1/1/2015,"$78,662.00 ",288121,291247, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201673,1/1/2016,"$85,634.00 ",288121,291247, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201773,1/1/2017,"$79,166.00 ",288121,291247, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201873,1/1/2018,"$83,648.00 ",288121,291247, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201973,1/1/2019,"$82,716.00 ",288121,291247, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
202073,1/1/2020,"$84,813.00 ",288121,291247, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
202173,1/1/2021,"$86,654.00 ",288121,291247, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201174,1/1/2011,"$43,654.00 ",285527,283506, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201274,1/1/2012,"$49,332.00 ",285527,283506, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201374,1/1/2013,"$50,522.00 ",285527,283506, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201474,1/1/2014,"$48,731.00 ",285527,283506, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201574,1/1/2015,"$52,106.00 ",285527,283506, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201674,1/1/2016,"$52,208.00 ",285527,283506, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201774,1/1/2017,"$56,375.00 ",285527,283506, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201874,1/1/2018,"$54,840.00 ",285527,283506, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201974,1/1/2019,"$65,534.00 ",285527,283506, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
202074,1/1/2020,"$61,962.00 ",285527,283506, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
202174,1/1/2021,"$71,343.00 ",285527,283506, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201175,1/1/2011,"$56,843.00 ",283927,292449, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201275,1/1/2012,"$56,794.00 ",283927,292449, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201375,1/1/2013,"$54,700.00 ",283927,292449, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201475,1/1/2014,"$60,497.00 ",283927,292449, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201575,1/1/2015,"$59,485.00 ",283927,292449, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201675,1/1/2016,"$63,227.00 ",283927,292449, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201775,1/1/2017,"$66,264.00 ",283927,292449, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201875,1/1/2018,"$72,561.00 ",283927,292449, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
201975,1/1/2019,"$81,693.00 ",283927,292449, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
202075,1/1/2020,"$76,444.00 ",283927,292449, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
202175,1/1/2021,"$81,958.00 ",283927,292449, Median Income data provided by ACS survey ,https://www.census.gov/programs-surveys/acs/data.html,,
