Identifier,Observation_Date,Median_Monthly_Income,percent_to_income_rent,percent_to_income_home_15yr_Payment_10_Perc_Down,percent_to_income_home_15yr_Payment_20_Perc_Down,percent_to_income_home_30yr_Payment_10_Perc_Down,percent_to_income_home_30yr_Payment_20_Perc_Down,percent_to_income_1br_15yr_Payment_10_Perc_Down,percent_to_income_1br_15yr_Payment_20_Perc_Down,percent_to_income_1br_30yr_Payment_10_Perc_Down,percent_to_income_1br_30yr_Payment_20_Perc_Down,percent_to_income_2br_15yr_Payment_10_Perc_Down,percent_to_income_2br_15yr_Payment_20_Perc_Down,percent_to_income_2br_30yr_Payment_10_Perc_Down,percent_to_income_2br_30yr_Payment_20_Perc_Down,percent_to_income_3br_15yr_Payment_10_Perc_Down,percent_to_income_3br_15yr_Payment_20_Perc_Down,percent_to_income_3br_30yr_Payment_10_Perc_Down,percent_to_income_3br_30yr_Payment_20_Perc_Down,percent_to_income_4br_15yr_Payment_10_Perc_Down,percent_to_income_4br_15yr_Payment_20_Perc_Down,percent_to_income_4br_30yr_Payment_10_Perc_Down,percent_to_income_4br_30yr_Payment_20_Perc_Down,percent_to_income_5_plus_br_15yr_Payment_10_Perc_Down,percent_to_income_5_plus_br_15yr_Payment_20_Perc_Down,percent_to_income_5_plus_br_30yr_Payment_10_Perc_Down,percent_to_income_5_plus_br_30yr_Payment_20_Perc_Down
201405,2014-01-01,3994.08,0.22,0.28,0.25,0.2,0.17,0.15,0.14,0.11,0.09,0.2,0.18,0.14,0.12,0.26,0.23,0.18,0.16,0.37,0.33,0.25,0.22,0.58,0.52,0.4,0.36
201505,2015-01-01,4037.67,0.23,0.3,0.26,0.2,0.18,0.16,0.14,0.11,0.1,0.21,0.19,0.14,0.13,0.27,0.24,0.19,0.16,0.38,0.33,0.25,0.23,0.59,0.52,0.4,0.35
201605,2016-01-01,4338.5,0.22,0.29,0.26,0.2,0.17,0.16,0.15,0.11,0.1,0.21,0.19,0.14,0.12,0.28,0.24,0.18,0.16,0.37,0.33,0.25,0.22,0.56,0.5,0.37,0.33
201705,2017-01-01,4724.67,0.21,0.3,0.26,0.2,0.18,0.17,0.15,0.11,0.1,0.22,0.19,0.15,0.13,0.28,0.25,0.19,0.17,0.37,0.33,0.25,0.22,0.55,0.49,0.37,0.33
201805,2018-01-01,4829.75,0.22,0.33,0.29,0.23,0.2,0.19,0.17,0.13,0.12,0.25,0.22,0.17,0.15,0.31,0.28,0.21,0.19,0.4,0.36,0.28,0.25,0.59,0.53,0.41,0.36
201905,2019-01-01,5077.58,0.22,0.32,0.28,0.21,0.19,0.19,0.17,0.13,0.11,0.24,0.22,0.16,0.14,0.3,0.27,0.2,0.18,0.38,0.34,0.26,0.23,0.56,0.5,0.38,0.34
202005,2020-01-01,5076.17,0.22,0.33,0.29,0.21,0.19,0.2,0.18,0.13,0.11,0.25,0.22,0.16,0.14,0.31,0.28,0.2,0.18,0.4,0.35,0.25,0.22,0.57,0.51,0.37,0.33
202105,2021-01-01,5702.92,0.23,0.37,0.33,0.24,0.21,0.22,0.2,0.14,0.13,0.29,0.26,0.18,0.16,0.35,0.31,0.23,0.2,0.44,0.39,0.28,0.25,0.64,0.57,0.41,0.37
201106,2011-01-01,2850.58,0.3,0.31,0.28,0.22,0.19,0.51,0.45,0.35,0.31,0.37,0.33,0.26,0.23,0.28,0.25,0.19,0.17,0.39,0.35,0.27,0.24,0.55,0.49,0.38,0.34
201206,2012-01-01,2948.83,0.3,0.27,0.24,0.18,0.16,0.46,0.41,0.31,0.27,0.32,0.28,0.21,0.19,0.24,0.21,0.16,0.14,0.35,0.31,0.23,0.21,0.49,0.43,0.32,0.29
