City_Rank_by_Population(2021),State,State_Abbrieviation,City,Observation_Date,Median_Taxes,Median_Typical_Home_Value,AnnualAverageRate15Year,15yr_Payment_10_Perc_Down,15yr_Payment_20_Perc_Down,AnnualAverageRate30Year,30yr_Payment_10_Perc_Down,30yr_Payment_20_Perc_Down
4,Texas,TX,Houston,1/1/2015,3464,164574.0,3.09,1029.2894863563397,914.923987872302,3.85,694.3828141142677,617.2291681015713
4,Texas,TX,Houston,1/1/2016,3567,171800.5,2.93,1062.5826646594398,944.5179241417242,3.65,707.3260315831727,628.7342502961535
4,Texas,TX,Houston,1/1/2017,3744,179082.0,3.28,1134.869442932264,1008.7728381620127,3.99,768.5394762801166,683.1462011378812
4,Texas,TX,Houston,1/1/2018,3956,186486.5,4.0,1241.4763110521776,1103.534498713047,4.54,854.4033978120813,759.4696869440722
4,Texas,TX,Houston,1/1/2019,4516,195305.0,3.39,1247.1076171910588,1108.54010416983,3.94,833.105577216876,740.5382908594453
4,Texas,TX,Houston,1/1/2020,7785,202412.0,2.61,1224.1508554101674,1088.1340936979266,3.11,778.8889888222345,692.3457678419861
4,Texas,TX,Houston,1/1/2021,9828,229725.5,2.27,1356.3332714760807,1205.6295746454052,2.96,867.2248420883803,770.8665263007827
5,Arizona,AZ,Phoenix,1/1/2011,1387,112204.0,3.68,730.8734376548479,649.6652779154203,4.45,508.67333828355606,452.1540784742721
5,Arizona,AZ,Phoenix,1/1/2012,1340,126599.0,2.93,783.0122890400227,696.0109235911312,3.66,521.8678645614119,463.8825462768107
5,Arizona,AZ,Phoenix,1/1/2013,1319,160519.0,3.11,1005.3239292859337,893.6212704763856,3.98,688.0433304681634,611.5940715272563
5,Arizona,AZ,Phoenix,1/1/2014,1343,178221.5,3.29,1130.1970379603629,1004.6195892981004,4.17,781.5743792749261,694.7327815777121
5,Arizona,AZ,Phoenix,1/1/2015,1376,190565.0,3.09,1191.8441003287023,1059.4169780699576,3.85,804.04596699166,714.7075262148088
5,Arizona,AZ,Phoenix,1/1/2016,1447,206447.5,2.93,1276.8736683669702,1134.9988163261958,3.65,849.9724442319263,755.53106153949
5,Arizona,AZ,Phoenix,1/1/2017,1414,222031.5,3.28,1407.0468540580014,1250.7083147182234,3.99,952.8594315882596,846.9861614117862
5,Arizona,AZ,Phoenix,1/1/2018,1551,239211.0,4.0,1592.4733953562456,1415.5319069833297,4.54,1095.9650762603499,974.191178898089
5,Arizona,AZ,Phoenix,1/1/2019,1623,251377.0,3.39,1605.1517958405407,1426.8015963027028,3.94,1072.2899090348255,953.1465858087338
5,Arizona,AZ,Phoenix,1/1/2020,5649,277370.5,2.61,1677.486190742376,1491.0988362154455,3.11,1067.3321160510127,948.7396587120114
5,Arizona,AZ,Phoenix,1/1/2021,6262,359291.5,2.27,2121.3100661813696,1885.608947716773,2.96,1356.342741015679,1205.6379920139368
6,Pennsylvania,PA,Philadelphia,1/1/2011,1377,135741.0,3.68,884.1885431954895,785.9453717293239,4.45,615.3775944881482,547.0023062116873
6,Pennsylvania,PA,Philadelphia,1/1/2012,1407,129322.5,2.93,799.8570821995302,710.984073066249,3.66,533.0947078155688,473.86196250272786
6,Pennsylvania,PA,Philadelphia,1/1/2013,1476,129270.0,3.11,809.6127208541833,719.6557518703852,3.98,554.0986508115518,492.5321340547127
6,Pennsylvania,PA,Philadelphia,1/1/2014,1606,129916.5,3.29,823.8694180117297,732.328371565982,4.17,569.7371408335747,506.4330140742886
6,Pennsylvania,PA,Philadelphia,1/1/2015,1591,134176.5,3.09,839.1754515664164,745.9337347257035,3.85,566.1274299585782,503.22438218540293
6,Pennsylvania,PA,Philadelphia,1/1/2016,1694,137178.5,2.93,848.446285453098,754.1744759583092,3.65,564.7825473356147,502.0289309649908
6,Pennsylvania,PA,Philadelphia,1/1/2017,1745,146778.5,3.28,930.1573275339416,826.8065133635037,3.99,629.9073693569486,559.917661650621
6,Pennsylvania,PA,Philadelphia,1/1/2018,1763,164287.5,4.0,1093.6933207067784,972.1718406282475,4.54,752.696834452104,669.0638528463147
6,Pennsylvania,PA,Philadelphia,1/1/2019,1885,178344.5,3.39,1138.8074265079276,1012.2732680070467,3.94,760.7577768923229,676.2291350153982
6,Pennsylvania,PA,Philadelphia,1/1/2020,4873,189607.0,2.61,1146.7085510827205,1019.296489851307,3.11,729.6148672194208,648.5465486394852
6,Pennsylvania,PA,Philadelphia,1/1/2021,8793,218388.5,2.27,1289.3979495430592,1146.1315107049415,2.96,824.4271203084475,732.8241069408423
7,Texas,TX,San Antonio,1/1/2011,2852,138430.5,3.68,901.7073848639924,801.5176754346601,4.45,627.570358946756,557.8403190637831
7,Texas,TX,San Antonio,1/1/2012,2908,139092.0,2.93,860.2812447740886,764.6944397991898,3.66,573.3666539038691,509.65924791455024
7,Texas,TX,San Antonio,1/1/2013,2880,143721.5,3.11,900.1218740639321,800.108332501273,3.98,616.0430822511985,547.5938508899543
7,Texas,TX,San Antonio,1/1/2014,3027,153554.0,3.29,973.7673398942641,865.5709687949014,4.17,673.3972738147867,598.5753545020326
